account_id,created_at,device_id,ip_subnet,payment_token,billing_address_hash,is_ring_member,ring_id
acc_00000,2026-06-02 00:00:00,unknown_device,unknown,13926,315.0,False,
acc_00001,2026-06-02 00:00:01,unknown_device,unknown,2755,325.0,False,
acc_00002,2026-06-02 00:01:09,unknown_device,unknown,4663,330.0,False,
acc_00003,2026-06-02 00:01:39,unknown_device,unknown,18132,476.0,False,
acc_00004,2026-06-02 00:01:46,SAMSUNG SM-G892A Build/NRD90M,unknown,4497,420.0,False,
acc_00005,2026-06-02 00:01:50,unknown_device,unknown,5937,272.0,False,
acc_00006,2026-06-02 00:02:02,unknown_device,unknown,12308,126.0,False,
acc_00007,2026-06-02 00:02:09,unknown_device,unknown,12695,325.0,False,
acc_00008,2026-06-02 00:02:15,iOS Device,unknown,2803,337.0,False,
acc_00009,2026-06-02 00:02:16,unknown_device,unknown,17399,204.0,False,
acc_00010,2026-06-02 00:02:29,Windows,unknown,16496,-1.0,False,
acc_00011,2026-06-02 00:02:35,unknown_device,unknown,4461,-1.0,False,
acc_00012,2026-06-02 00:02:44,unknown_device,unknown,3786,204.0,False,
acc_00013,2026-06-02 00:03:05,unknown_device,unknown,12866,330.0,False,
acc_00014,2026-06-02 00:03:16,unknown_device,unknown,11839,226.0,False,
acc_00015,2026-06-02 00:03:38,unknown_device,unknown,7055,315.0,False,
acc_00016,2026-06-02 00:03:40,MacOS,unknown,1790,170.0,False,
acc_00017,2026-06-02 00:04:28,Windows,unknown,11492,204.0,False,
acc_00018,2026-06-02 00:05:25,unknown_device,unknown,4663,184.0,False,
acc_00019,2026-06-02 00:05:30,unknown_device,unknown,7005,264.0,False,
acc_00020,2026-06-02 00:06:01,unknown_device,unknown,7875,299.0,False,
acc_00021,2026-06-02 00:06:09,unknown_device,unknown,11401,204.0,False,
acc_00022,2026-06-02 00:06:26,unknown_device,unknown,1724,299.0,False,
acc_00023,2026-06-02 00:06:48,unknown_device,unknown,2392,126.0,False,
acc_00024,2026-06-02 00:07:01,unknown_device,unknown,10112,264.0,False,
acc_00025,2026-06-02 00:09:04,unknown_device,unknown,15385,441.0,False,
acc_00026,2026-06-02 00:09:05,unknown_device,unknown,17868,472.0,False,
acc_00027,2026-06-02 00:09:32,unknown_device,unknown,11307,337.0,False,
acc_00028,2026-06-02 00:09:33,unknown_device,unknown,8431,251.0,False,
acc_00029,2026-06-02 00:09:39,unknown_device,unknown,12932,204.0,False,
acc_00030,2026-06-02 00:09:54,unknown_device,unknown,13276,126.0,False,
acc_00031,2026-06-02 00:09:58,unknown_device,unknown,6573,315.0,False,
acc_00032,2026-06-02 00:10:08,unknown_device,unknown,7835,472.0,False,
acc_00033,2026-06-02 00:11:18,unknown_device,unknown,8613,264.0,False,
acc_00034,2026-06-02 00:12:15,unknown_device,unknown,17359,469.0,False,
acc_00035,2026-06-02 00:12:20,unknown_device,unknown,9766,226.0,False,
acc_00036,2026-06-02 00:12:29,unknown_device,unknown,4806,315.0,False,
acc_00037,2026-06-02 00:12:41,unknown_device,unknown,13249,264.0,False,
acc_00038,2026-06-02 00:12:52,unknown_device,unknown,5463,330.0,False,
acc_00039,2026-06-02 00:13:22,unknown_device,unknown,12598,299.0,False,
acc_00040,2026-06-02 00:13:29,Windows,unknown,13329,-1.0,False,
acc_00041,2026-06-02 00:13:40,unknown_device,unknown,9002,264.0,False,
acc_00042,2026-06-02 00:13:53,unknown_device,unknown,13085,330.0,False,
acc_00043,2026-06-02 00:14:08,unknown_device,unknown,10776,420.0,False,
acc_00044,2026-06-02 00:14:26,unknown_device,unknown,9281,472.0,False,
acc_00045,2026-06-02 00:14:35,unknown_device,unknown,16132,299.0,False,
acc_00046,2026-06-02 00:14:45,unknown_device,unknown,12544,441.0,False,
acc_00047,2026-06-02 00:14:45,unknown_device,unknown,4208,126.0,False,
acc_00048,2026-06-02 00:15:17,Windows,unknown,15885,-1.0,False,
acc_00049,2026-06-02 00:15:17,Windows,unknown,12730,-1.0,False,
acc_00050,2026-06-02 00:15:19,unknown_device,unknown,10045,299.0,False,
acc_00051,2026-06-02 00:15:33,unknown_device,unknown,7826,126.0,False,
acc_00052,2026-06-02 00:15:49,unknown_device,unknown,18018,264.0,False,
acc_00053,2026-06-02 00:16:41,unknown_device,unknown,18370,191.0,False,
acc_00054,2026-06-02 00:16:53,unknown_device,unknown,3670,420.0,False,
acc_00055,2026-06-02 00:17:20,unknown_device,unknown,1955,315.0,False,
acc_00056,2026-06-02 00:17:25,SM-G930V Build/NRD90M,unknown,11839,204.0,False,
acc_00057,2026-06-02 00:18:52,unknown_device,unknown,16659,299.0,False,
acc_00058,2026-06-02 00:19:17,unknown_device,unknown,9785,485.0,False,
acc_00059,2026-06-02 00:19:41,unknown_device,unknown,2213,184.0,False,
acc_00060,2026-06-02 00:20:01,unknown_device,unknown,18132,204.0,False,
acc_00061,2026-06-02 00:20:04,unknown_device,unknown,17967,184.0,False,
acc_00062,2026-06-02 00:20:11,unknown_device,unknown,3278,122.0,False,
acc_00063,2026-06-02 00:20:50,unknown_device,unknown,17188,299.0,False,
acc_00064,2026-06-02 00:21:00,Windows,unknown,15333,315.0,False,
acc_00065,2026-06-02 00:21:04,unknown_device,unknown,1240,485.0,False,
acc_00066,2026-06-02 00:21:07,unknown_device,unknown,14076,-1.0,False,
acc_00067,2026-06-02 00:22:15,iOS Device,unknown,3682,325.0,False,
acc_00068,2026-06-02 00:22:16,unknown_device,unknown,1662,472.0,False,
acc_00069,2026-06-02 00:22:32,BLADE A602 Build/MRA58K,unknown,13832,-1.0,False,
acc_00070,2026-06-02 00:23:07,unknown_device,unknown,18132,441.0,False,
acc_00071,2026-06-02 00:23:45,unknown_device,unknown,14858,220.0,False,
acc_00072,2026-06-02 00:23:59,unknown_device,unknown,4504,-1.0,False,
acc_00073,2026-06-02 00:24:16,unknown_device,unknown,7207,204.0,False,
acc_00074,2026-06-02 00:24:59,unknown_device,unknown,15066,325.0,False,
acc_00075,2026-06-02 00:25:24,unknown_device,unknown,14695,315.0,False,
acc_00076,2026-06-02 00:25:28,Windows,unknown,5583,-1.0,False,
acc_00077,2026-06-02 00:25:50,unknown_device,unknown,11815,476.0,False,
acc_00078,2026-06-02 00:26:44,unknown_device,unknown,1549,205.0,False,
acc_00079,2026-06-02 00:27:01,unknown_device,unknown,18095,387.0,False,
acc_00080,2026-06-02 00:27:33,unknown_device,unknown,14165,181.0,False,
acc_00081,2026-06-02 00:27:34,unknown_device,unknown,6481,337.0,False,
acc_00082,2026-06-02 00:27:50,Windows,unknown,5220,231.0,False,
acc_00083,2026-06-02 00:28:27,unknown_device,unknown,5409,315.0,False,
acc_00084,2026-06-02 00:28:40,unknown_device,unknown,2538,330.0,False,
acc_00085,2026-06-02 00:28:51,unknown_device,unknown,15121,420.0,False,
acc_00086,2026-06-02 00:29:07,unknown_device,unknown,2581,436.0,False,
acc_00087,2026-06-02 00:29:09,unknown_device,unknown,6459,325.0,False,
acc_00088,2026-06-02 00:29:22,iOS Device,unknown,1214,126.0,False,
acc_00089,2026-06-02 00:29:29,SM-G930V Build/NRD90M,unknown,16659,330.0,False,
acc_00090,2026-06-02 00:29:34,MacOS,unknown,4523,337.0,False,
acc_00091,2026-06-02 00:29:38,unknown_device,unknown,4186,325.0,False,
acc_00092,2026-06-02 00:30:30,unknown_device,unknown,12733,327.0,False,
acc_00093,2026-06-02 00:30:58,unknown_device,unknown,9500,204.0,False,
acc_00094,2026-06-02 00:31:43,unknown_device,unknown,9515,343.0,False,
acc_00095,2026-06-02 00:32:26,unknown_device,unknown,2704,299.0,False,
acc_00096,2026-06-02 00:33:00,unknown_device,unknown,1214,337.0,False,
acc_00097,2026-06-02 00:33:14,unknown_device,unknown,15497,299.0,False,
acc_00098,2026-06-02 00:33:24,Windows,unknown,12184,-1.0,False,
acc_00099,2026-06-02 00:33:30,unknown_device,unknown,11465,123.0,False,
acc_00100,2026-06-02 00:33:55,synthetic_device_ring_001,unknown,10520,299.0,True,ring_001
acc_00101,2026-06-02 00:34:00,unknown_device,unknown,9803,126.0,False,
acc_00102,2026-06-02 00:34:44,MacOS,unknown,2456,synthetic_addr_ring_005,True,ring_005
acc_00103,2026-06-02 00:35:07,unknown_device,unknown,9749,436.0,False,
acc_00104,2026-06-02 00:35:17,MacOS,unknown,1804,181.0,False,
acc_00105,2026-06-02 00:35:38,unknown_device,unknown,9500,325.0,False,
acc_00106,2026-06-02 00:35:49,unknown_device,unknown,6550,299.0,False,
acc_00107,2026-06-02 00:35:54,unknown_device,unknown,12873,299.0,False,
acc_00108,2026-06-02 00:36:19,unknown_device,unknown,11279,502.0,False,
acc_00109,2026-06-02 00:36:29,unknown_device,unknown,4106,315.0,False,
acc_00110,2026-06-02 00:36:47,unknown_device,unknown,8394,325.0,False,
acc_00111,2026-06-02 00:37:08,unknown_device,unknown,18227,325.0,False,
acc_00112,2026-06-02 00:37:18,unknown_device,unknown,8684,315.0,False,
acc_00113,2026-06-02 00:37:27,unknown_device,unknown,14349,315.0,False,
acc_00114,2026-06-02 00:37:37,unknown_device,unknown,8406,476.0,False,
acc_00115,2026-06-02 00:37:51,unknown_device,unknown,2616,330.0,False,
acc_00116,2026-06-02 00:38:08,unknown_device,unknown,2392,269.0,False,
acc_00117,2026-06-02 00:38:24,unknown_device,unknown,1675,330.0,False,
acc_00118,2026-06-02 00:38:45,Windows,unknown,16075,184.0,False,
acc_00119,2026-06-02 00:38:55,unknown_device,unknown,9026,-1.0,False,
acc_00120,2026-06-02 00:39:03,unknown_device,unknown,9992,158.0,False,
acc_00121,2026-06-02 00:39:15,MacOS,unknown,8194,272.0,False,
acc_00122,2026-06-02 00:39:38,unknown_device,unknown,1764,315.0,False,
acc_00123,2026-06-02 00:40:05,iOS Device,unknown,8260,433.0,False,
acc_00124,2026-06-02 00:40:42,iOS Device,unknown,14858,325.0,False,
acc_00125,2026-06-02 00:41:20,unknown_device,unknown,12695,330.0,False,
acc_00126,2026-06-02 00:41:37,unknown_device,unknown,12577,184.0,False,
acc_00127,2026-06-02 00:41:52,unknown_device,unknown,14605,330.0,False,
acc_00128,2026-06-02 00:42:23,unknown_device,unknown,6053,299.0,False,
acc_00129,2026-06-02 00:42:45,Windows,unknown,3334,126.0,False,
acc_00130,2026-06-02 00:43:17,unknown_device,unknown,14025,143.0,False,
acc_00131,2026-06-02 00:43:17,unknown_device,unknown,10023,325.0,False,
acc_00132,2026-06-02 00:44:55,unknown_device,unknown,15651,330.0,False,
