transaction_id,account_id,timestamp,amount,transaction_type,merchant_category,device_id,is_fraud_individual
2987000,acc_00000,2026-06-02 00:00:00,68.5,purchase,W,unknown_device,False
2987001,acc_00001,2026-06-02 00:00:01,29.0,purchase,W,unknown_device,False
2987002,acc_00002,2026-06-02 00:01:09,59.0,purchase,W,unknown_device,False
2987003,acc_00003,2026-06-02 00:01:39,50.0,purchase,W,unknown_device,False
2987004,acc_00004,2026-06-02 00:01:46,50.0,purchase,H,SAMSUNG SM-G892A Build/NRD90M,False
2987005,acc_00005,2026-06-02 00:01:50,49.0,purchase,W,unknown_device,False
2987006,acc_00006,2026-06-02 00:02:02,159.0,purchase,W,unknown_device,False
2987007,acc_00007,2026-06-02 00:02:09,422.5,purchase,W,unknown_device,False
2987008,acc_00008,2026-06-02 00:02:15,15.0,purchase,H,iOS Device,False
2987009,acc_00009,2026-06-02 00:02:16,117.0,purchase,W,unknown_device,False
2987010,acc_00010,2026-06-02 00:02:29,75.887,purchase,C,Windows,False
2987011,acc_00011,2026-06-02 00:02:35,16.495,purchase,C,unknown_device,False
2987012,acc_00012,2026-06-02 00:02:44,50.0,purchase,W,unknown_device,False
2987013,acc_00013,2026-06-02 00:03:05,40.0,purchase,W,unknown_device,False
2987014,acc_00014,2026-06-02 00:03:16,10.5,purchase,W,unknown_device,False
2987015,acc_00015,2026-06-02 00:03:38,57.95,purchase,W,unknown_device,False
2987016,acc_00016,2026-06-02 00:03:40,30.0,purchase,H,MacOS,False
2987017,acc_00017,2026-06-02 00:04:28,100.0,purchase,H,Windows,False
2987018,acc_00018,2026-06-02 00:05:25,47.95,purchase,W,unknown_device,False
2987019,acc_00019,2026-06-02 00:05:30,186.0,purchase,W,unknown_device,False
2987020,acc_00020,2026-06-02 00:06:01,39.0,purchase,W,unknown_device,False
2987021,acc_00021,2026-06-02 00:06:09,159.95,purchase,W,unknown_device,False
2987022,acc_00022,2026-06-02 00:06:26,50.0,purchase,H,unknown_device,False
2987023,acc_00023,2026-06-02 00:06:48,107.95,purchase,W,unknown_device,False
2987024,acc_00024,2026-06-02 00:07:01,73.95,purchase,W,unknown_device,False
2987025,acc_00025,2026-06-02 00:09:04,107.95,purchase,W,unknown_device,False
2987026,acc_00026,2026-06-02 00:09:05,184.0,purchase,W,unknown_device,False
2987027,acc_00027,2026-06-02 00:09:32,47.95,purchase,W,unknown_device,False
2987028,acc_00028,2026-06-02 00:09:33,20.0,purchase,W,unknown_device,False
2987029,acc_00029,2026-06-02 00:09:39,36.99,purchase,W,unknown_device,False
2987030,acc_00030,2026-06-02 00:09:54,35.0,purchase,W,unknown_device,False
2987031,acc_00031,2026-06-02 00:09:58,363.89,purchase,W,unknown_device,False
2987032,acc_00032,2026-06-02 00:10:08,200.0,purchase,W,unknown_device,False
2987033,acc_00033,2026-06-02 00:11:18,40.0,purchase,W,unknown_device,False
2987034,acc_00034,2026-06-02 00:12:15,107.95,purchase,W,unknown_device,False
2987035,acc_00035,2026-06-02 00:12:20,107.95,purchase,W,unknown_device,False
2987036,acc_00036,2026-06-02 00:12:29,77.0,purchase,W,unknown_device,False
2987037,acc_00037,2026-06-02 00:12:41,21.95,purchase,W,unknown_device,False
2987038,acc_00038,2026-06-02 00:12:52,25.0,purchase,S,unknown_device,False
2987039,acc_00039,2026-06-02 00:13:22,39.95,purchase,W,unknown_device,False
2987040,acc_00040,2026-06-02 00:13:29,75.887,purchase,C,Windows,False
2987041,acc_00041,2026-06-02 00:13:40,774.0,purchase,W,unknown_device,False
2987042,acc_00042,2026-06-02 00:13:53,117.0,purchase,W,unknown_device,False
2987043,acc_00043,2026-06-02 00:14:08,49.0,purchase,W,unknown_device,False
2987044,acc_00044,2026-06-02 00:14:26,39.5,purchase,W,unknown_device,False
2987045,acc_00045,2026-06-02 00:14:35,36.95,purchase,W,unknown_device,False
2987046,acc_00046,2026-06-02 00:14:45,49.0,purchase,W,unknown_device,False
2987047,acc_00047,2026-06-02 00:14:45,15.0,purchase,W,unknown_device,False
2987048,acc_00048,2026-06-02 00:15:17,42.294,purchase,C,Windows,False
2987049,acc_00049,2026-06-02 00:15:17,3.595,purchase,C,Windows,False
2987050,acc_00050,2026-06-02 00:15:19,117.0,purchase,W,unknown_device,False
2987051,acc_00032,2026-06-02 00:15:28,226.0,purchase,W,unknown_device,False
2987052,acc_00051,2026-06-02 00:15:33,117.0,purchase,W,unknown_device,False
2987053,acc_00052,2026-06-02 00:15:49,130.95,purchase,W,unknown_device,False
2987054,acc_00053,2026-06-02 00:16:41,34.0,purchase,W,unknown_device,False
2987055,acc_00054,2026-06-02 00:16:53,210.95,purchase,W,unknown_device,False
2987056,acc_00055,2026-06-02 00:17:20,500.0,purchase,W,unknown_device,False
2987057,acc_00056,2026-06-02 00:17:25,50.0,purchase,H,SM-G930V Build/NRD90M,False
2987058,acc_00057,2026-06-02 00:18:52,380.21,purchase,W,unknown_device,False
